DS,Site,Crop,Field Type,Stage,Part,Season,Richness,Shannon,Abundance,Damage,E,PH,RF,RH,T
AG,Gauvaravilla,Radish,Agriculture,Mature,Root,rainy,1,0,4,2,1320,5.35,9.415,89.35,23.4
AG,Gauvaravilla,Tomato,Agriculture,Mature,Leaf,non-rainy,1,0,1,1,1320,4.95,7.5,84.5,23.7
AG,Gauvaravilla,Tomato,Agriculture,Mature,Leaf,rainy,2,0.636514168,3,4,1320,5.35,9.415,89.35,23.4
AG,Glenugie,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.693147181,2,3.5,1327,5.37,7.5,83.5,24.2
AG,Glenugie,Cabbage,Agriculture,Mature,Leaf,rainy,2,0.598269589,7,13.5,1327,5.49,9.415,89.1,23.5
AG,Gorthie,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.693147181,2,5.5,1240,5.37,7.5,83.5,24.1
AG,Gorthie,Cabbage,Agriculture,Mature,Leaf,rainy,3,0.964962923,9,18.66666667,1240,5.49,9.415,89.7,23.5
AG,Hatton,Cabbage,Agriculture,Mature,Leaf,non-rainy,1,0,1,3,1262,5.77,5.8,73.1,24.9
AG,Hatton,Cabbage,Agriculture,Mature,Leaf,rainy,2,0.450561209,6,9.5,1262,6.905,5.91,82.35,24.3
AG,Hatton,Leeks,Agriculture,Mature,Leaf,non-rainy,2,0.693147181,2,2,1262,5.77,5.8,73.1,24.9
AG,Hatton,Leeks,Agriculture,Mature,Leaf,rainy,4,1.213007566,8,6.75,1262,6.905,5.91,82.35,24.3
AG,Hatton,Lettuce,Agriculture,Mature,Leaf,rainy,4,1.386294361,4,4,1262,6.905,5.91,82.35,24.3
AG,Hebbekanda,Beans,Agriculture,Mature,Leaf,non-rainy,1,0,1,1,790,6.35,3.3,97,25.3
AG,Hebbekanda,Beans,Agriculture,Mature,Leaf,rainy,1,0,2,4,790,5.6,4.66,98.6,25.1
AG,Hebbekanda,Beans,Agriculture,Mature,Pod,rainy,1,0,1,5,790,5.6,4.66,98.6,25.1
AG,Hebbekanda,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.562335145,4,7.5,790,6.35,3.3,97,25.3
AG,Hebbekanda,Cabbage,Agriculture,Mature,Leaf,rainy,3,0.758936773,14,22.33333333,790,5.6,4.66,98.6,25.1
AG,Hebbekanda,Radish,Agriculture,Mature,Leaf,non-rainy,1,0,1,2,790,6.35,3.3,97,25.3
AG,Hebbekanda,Radish,Agriculture,Mature,Leaf,rainy,1,0,4,9,790,5.6,4.66,98.6,25.1
AG,Marussakelle,Cabbage,Agriculture,Mature,Leaf,non-rainy,3,0.950270539,5,5.333333333,1150,5.68,5.5,80.5,26.9
AG,Marussakelle,Cabbage,Agriculture,Mature,Leaf,rainy,3,0.76475442,15,23.33333333,1150,5.115,6.175,81.9,24.4
