AllGra,AriBis,BraSim,DerLae,DerRet,EupEmi,LeaAlt,LisFul,MacInd,MarDus,MilGag,SubOct
0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0,0,0,0
0,0,4,0,6,0,1,1,0,1,0,0
0,0,1,0,1,0,0,0,0,0,0,0
0,0,2,1,2,0,1,1,0,1,0,0
0,0,1,0,1,0,0,0,0,0,0,0
0,0,2,1,2,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,2,0,0
0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,2,0,0,4,0,0
0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,4,0,2,0,0
1,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,1,0,0
0,0,0,0,0,0,5,2,0,3,0,0
0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,7,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,2,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,2,0,0
1,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0
0,0,2,1,5,0,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0,0,0,0
0,0,4,0,8,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,2,0,0,0
0,0,2,0,0,0,0,0,1,0,0,0
0,0,5,0,0,0,0,0,3,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0
0,0,3,1,2,0,0,0,0,0,0,0
0,0,5,1,4,0,0,0,0,0,0,0
0,0,10,2,16,0,0,0,0,0,0,0
0,0,3,1,3,0,0,0,0,0,0,0
0,0,9,2,13,0,0,0,0,0,0,0
0,0,1,3,0,0,0,0,0,0,0,0
0,0,5,9,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0
0,0,17,0,0,0,0,0,0,0,0,0
